program,NO,service_id,class,class_desc,method,method_desc,in,out,validation,trans_call,description,blank,etc
STT0101MU01,1,STT0101MU01_Q01,SSTT10,사용자 관리,searchListUser,사용자 목록,STT0101MU01_Q01In,STT0101MU01_Q01Out,,,,,
STT0101MU01,2,STT0101MU01_U02,SSTT10,사용자 관리,removeUser,사용자 삭제,STT0101MU01_U02In,STT0101MU01_U02Out,,,,,
STT0101MU01,3,STT0101MU01_Q03,SSTT10,사용자 관리,getUserAuth,사용자 권한 조회,STT0101MU01_Q03In,STT0101MU01_Q03Out,,,,,
STT0101MU01,4,STT0101MU01_U04,SSTT10,사용자 관리,modifyUserAuth,사용자 권한 수정,STT0101MU01_U04In,STT0101MU01_U04Out,,,,,
STT0101PU03,1,STT0101PU03_U01,SSTT10,사용자 관리,addUser,사용자 등록,STT0101PU03_U01In,STT0101PU03_U01Out,,,,,
STT0101PU03,2,STT0101PU03_Q02,SSTT10,사용자 관리,checkUserId,id 중복체크,STT0101PU03_Q02In,STT0101PU03_Q02Out,,,,,
STT0101PU04,1,STT0101PU04_U02,SSTT10,사용자 관리,modifyUser,사용자 정보 수정,STT0101PU04_U02In,STT0101PU04_U02Out,,,,,
